gamma_result_temp,gamma_result_depth,ref,TiDE_pred_temp,TiDE_pred_depth,Time,LP
2460.567648363808,-0.3795918367346939,2437.4905,2462.1814,-0.3803351,0.16576910018920898,531.60046
2464.2101706126477,-0.3780612244897959,2429.3916,2463.1323,-0.3794564,0.2062678337097168,531.3468
2469.9814901555055,-0.376530612244898,2428.936,2465.0105,-0.37777522,0.29822278022766113,531.09753
2468.1037197682044,-0.3795918367346939,2431.435,2465.63,-0.37744313,0.4030919075012207,530.85004
2460.845375538618,-0.3811224489795918,2442.8704,2457.1367,-0.38020664,0.28249526023864746,530.64966
2462.2452419631145,-0.3780612244897959,2447.9314,2450.523,-0.38167533,0.1462709903717041,530.43976
2465.612098441751,-0.3780612244897959,2451.6182,2461.5342,-0.37864095,0.310136079788208,530.1704
2467.8593470351175,-0.3811224489795918,2439.6816,2465.0718,-0.37797877,0.12104630470275879,529.88007
2470.019905627395,-0.3811224489795918,2440.2856,2456.0999,-0.38112065,0.12373495101928711,529.62775
2461.8012547483386,-0.3811224489795918,2430.5598,2454.4976,-0.38180348,0.14738845825195312,529.3628
2457.3401947141047,-0.38265306122448983,2425.2212,2452.4568,-0.3812073,0.15613245964050293,529.07324
2458.7906211948475,-0.38112244897959185,2431.8953,2448.6199,-0.38082862,0.2357029914855957,528.7908
2455.331062632683,-0.3795918367346939,2433.1746,2452.8186,-0.38191256,0.22730445861816406,528.46625
2452.769305293489,-0.38418367346938775,2441.6252,2451.0757,-0.3814438,0.16106677055358887,528.14124
2454.759290574285,-0.3872448979591837,2441.0542,2445.7322,-0.38306123,0.20226764678955078,527.9508
2452.8015608182322,-0.38112244897959185,2439.5703,2443.4258,-0.38505387,0.1506967544555664,527.7886
2454.073755493776,-0.3795918367346939,2437.6592,2452.3796,-0.38155502,0.10915589332580566,527.62427
2454.033492696199,-0.38112244897959185,2432.2517,2460.295,-0.37878543,0.2165818214416504,527.4404
2453.5986629730123,-0.38265306122448983,2435.485,2452.5864,-0.38121676,0.1349644660949707,527.27826
2458.9516663197774,-0.3872448979591837,2430.5825,2441.7134,-0.38469663,0.1148223876953125,527.18115
2454.80078584994,-0.3872448979591837,2426.8354,2447.6672,-0.38464183,0.24863815307617188,527.0885
2432.503104376131,-0.38112244897959185,2426.8591,2450.5356,-0.3834344,0.2654280662536621,526.99817
2422.998543169083,-0.38112244897959185,2426.3745,2435.087,-0.38298577,0.19828319549560547,527.00616
2430.4558822803747,-0.3872448979591837,2427.7341,2427.4097,-0.38407698,0.13889193534851074,527.0337
2436.3528767252046,-0.3872448979591837,2431.8162,2434.802,-0.38662112,0.22561931610107422,527.03925
2447.9691529362026,-0.3872448979591837,2430.0254,2446.5894,-0.3853935,0.13474678993225098,527.0126
2451.5349347714664,-0.3872448979591837,2427.364,2457.3958,-0.38224524,0.20819687843322754,526.9663
2441.476375751048,-0.38112244897959185,2426.9404,2449.847,-0.38319474,0.13302087783813477,526.9482
2437.235263211041,-0.38112244897959185,2426.1204,2438.9421,-0.38412377,0.18021225929260254,526.9459
2440.0940789484002,-0.38112244897959185,2427.3308,2442.5132,-0.38355917,0.17078304290771484,526.9525
2446.1882096173313,-0.38112244897959185,2431.136,2455.1497,-0.38141316,0.1787707805633545,526.9468
2454.349938557663,-0.3872448979591837,2433.6274,2456.8635,-0.38186824,0.19474053382873535,526.90314
2453.5873046785605,-0.3872448979591837,2432.3218,2447.8228,-0.38533577,0.26291489601135254,526.8714
2445.826891061638,-0.38112244897959185,2434.1963,2444.4033,-0.38581216,0.3426952362060547,526.8403
2445.0084486554733,-0.38112244897959185,2433.3525,2453.0173,-0.3820787,0.22943639755249023,526.8098
2446.2614658904113,-0.3857142857142857,2433.5981,2455.4602,-0.38167652,0.18416118621826172,526.7542
2436.8295496528744,-0.3857142857142857,2438.6343,2443.2893,-0.3866585,0.16625404357910156,526.7406
2434.211258498124,-0.3872448979591837,2435.9429,2434.6406,-0.38844734,0.2552309036254883,526.7965
2435.9015736043534,-0.38877551020408163,2436.2744,2440.9766,-0.38586327,0.17033052444458008,526.7318
2431.7174375384648,-0.38877551020408163,2433.9575,2444.2441,-0.38573882,0.3313479423522949,526.5226
2435.1212686357926,-0.3872448979591837,2430.9404,2430.1875,-0.3893892,0.2052774429321289,526.3465
2440.8019163872755,-0.3857142857142857,2431.023,2437.1943,-0.38755006,0.32173657417297363,526.2743
2436.1507548317913,-0.3857142857142857,2432.1694,2455.0325,-0.38354176,0.15197014808654785,526.24805
2435.2278081287564,-0.3872448979591837,2438.2512,2444.5803,-0.3856889,0.3244173526763916,526.2573
2438.13745098042,-0.38877551020408163,2438.4463,2421.842,-0.38824278,0.30472397804260254,526.3201
2436.2348660808807,-0.38418367346938775,2437.4136,2431.1968,-0.38821596,0.30333662033081055,526.3714
2438.236911471882,-0.3826530612244898,2436.1648,2450.5264,-0.38360217,0.28778815269470215,526.39636
2441.1438840257324,-0.3857142857142857,2429.856,2450.0776,-0.38286406,0.2633652687072754,526.40674
2436.0251408039353,-0.3857142857142857,2431.6313,2432.1572,-0.3876781,0.1708061695098877,526.4324
2436.7041985670635,-0.38265306122448983,2439.1763,2419.2612,-0.38908553,0.1637411117553711,526.4567
2447.2539551192613,-0.38265306122448983,2439.602,2446.3035,-0.38479882,0.20873284339904785,526.4404
2437.596339796471,-0.38112244897959185,2441.2168,2460.3508,-0.38161248,0.13646602630615234,526.42914
2432.4226428416287,-0.38112244897959185,2439.3958,2430.1917,-0.38482094,0.2905240058898926,526.4628
2442.054929327127,-0.3857142857142857,2434.222,2410.3086,-0.38608193,0.12520694732666016,526.5233
2438.610775875203,-0.3857142857142857,2433.1284,2435.287,-0.38507003,0.24841690063476562,526.5583
2443.951100509061,-0.3872448979591837,2440.051,2437.4763,-0.3848171,0.16130518913269043,526.5835
2446.596088680859,-0.3872448979591837,2427.6172,2427.6895,-0.38556808,0.24048328399658203,526.66486
2444.4408903852645,-0.38112244897959185,2435.7188,2427.7258,-0.38501433,0.2764923572540283,526.7499
2442.8887773438296,-0.38112244897959185,2442.0146,2445.138,-0.38195378,0.40749549865722656,526.84155
2435.768409792587,-0.3872448979591837,2448.618,2443.9514,-0.3818571,0.35163140296936035,526.9439
2429.8607823643533,-0.3872448979591837,2456.4565,2411.6704,-0.38649377,0.29416942596435547,527.06165
2431.236859079577,-0.38418367346938775,2455.7466,2410.719,-0.38722724,0.3792145252227783,527.14685
2443.665194174779,-0.38418367346938775,2450.277,2441.9338,-0.38298666,0.2752354145050049,527.2262
2442.084167136387,-0.3795918367346939,2437.813,2460.8276,-0.38110006,0.290346622467041,527.3071
2434.1876517141827,-0.3795918367346939,2445.6675,2443.4917,-0.3819705,0.19609522819519043,527.4021
2439.420739281323,-0.38265306122448983,2454.8074,2421.7449,-0.38387895,0.1811981201171875,527.53644
2445.7607702089,-0.38265306122448983,2464.897,2442.8733,-0.3829419,0.13800692558288574,527.69586
2447.5578456248513,-0.3857142857142857,2478.561,2461.5942,-0.38247275,0.3846268653869629,527.84576
2449.6363568454713,-0.3857142857142857,2470.618,2444.047,-0.38461584,0.2564995288848877,527.967
2451.8876208556203,-0.38112244897959185,2469.4822,2439.3936,-0.38454175,0.1332411766052246,528.0138
2449.038283438432,-0.38112244897959185,2454.0962,2458.9429,-0.38124335,0.26873135566711426,528.03174
2449.406596110195,-0.3872448979591837,2455.9873,2457.374,-0.3817762,0.2729365825653076,527.9688
2451.335334804823,-0.3872448979591837,2456.4294,2437.7651,-0.38645184,0.28247857093811035,527.8777
2449.6752389575727,-0.3857142857142857,2458.1707,2443.1377,-0.38646153,0.23401117324829102,527.81006
2447.177411717832,-0.38418367346938775,2472.2773,2456.6611,-0.38379806,0.23225736618041992,527.68353
2443.7784428772748,-0.3780612244897959,2470.352,2451.155,-0.382047,0.19371294975280762,527.5295
2443.1935017738524,-0.3795918367346939,2485.9873,2438.2173,-0.38119692,0.16460156440734863,527.3807
